Group,Time,Alanine,Valine,Leucine,Isoleucine,Glycine,Proline,Serine,Threonine,beta-alanine,GABA,Aspartate,Methionine,O-acetyl-serine,Phenylalanine,Glutamine,Lysine,Tyrosine,Threonic acid,Pyruvic acid,Succinic acid,Fumaric acid,Malic acid,Glycolic acid,Benzoic acid,Nicotinic acid,Gluconic acid,Shikimate,Arabitol,Fructose ,Glucose ,Sucrose,Maltose ,myo-inositol,Uracil,Sinapic acid
21-L,40,0.7992,10.552,0.5998,0.6325,17.172,13.229,11.381,10.777,0.7033,10.135,0.9819,16.479,14.530,10.829,11.740,0.7603,0.5704,12.548,15.744,0.8435,0.8179,0.7939,12.356,0.7893,0.8467,10.296,13.630,0.8897,18.276,14.864,10.262,0.9245,12.313,0.6316,0.994
21-L,40,0.7491,0.8492,0.7597,0.6497,0.9768,15.046,10.789,10.903,0.8194,10.295,11.166,10.735,10.610,0.7895,12.976,0.7493,0.7032,11.309,14.393,10.000,10.389,10.698,11.925,0.9828,0.7003,10.295,10.295,0.9238,11.507,13.269,10.708,10.327,0.9609,0.5934,10.323
21-L,40,0.9273,0.8379,0.6572,0.6704,12.905,12.148,0.8715,10.800,0.5084,0.9679,10.121,14.167,12.205,0.9117,13.552,0.8592,0.7346,0.8831,12.983,0.8654,0.9433,0.8794,0.6838,0.7138,0.8342,10.219,13.732,0.8387,17.506,22.398,10.848,12.033,10.287,0.5443,11.859
21-L,40,0.832,0.8153,0.6357,0.7063,14.108,15.210,0.9936,0.9402,0.6111,0.9356,10.899,11.307,14.948,0.9142,0.9789,0.8789,0.6057,13.695,12.572,13.786,0.9202,0.9892,10.689,0.8859,0.8739,11.109,15.564,0.985,19.778,25.701,0.9403,10.821,10.565,0.4464,10.500
21-L,120,0.7293,0.8339,0.5987,0.6672,13.140,15.306,10.234,0.9245,0.9142,0.8197,10.277,15.241,13.830,0.9747,10.627,0.7013,0.4929,15.473,13.692,10.476,0.6965,0.7649,0.9052,10.076,0.8518,10.223,14.527,0.8504,29.598,27.782,0.9492,10.078,10.726,0.5819,12.684
21-L,120,0.8718,0.9064,10.339,0.7523,22.289,0.6444,12.882,11.096,0.8889,0.8854,11.274,11.612,0.9838,0.9035,11.633,0.8843,0.5692,12.976,15.413,10.036,0.9935,10.143,13.809,0.7577,0.988,0.9873,10.793,0.9106,15.894,14.474,10.913,0.8468,0.8879,11.616,10.267
21-L,120,0.8808,0.7764,0.6115,0.5994,17.439,0.8647,0.9108,0.731,0.7633,0.8483,11.963,12.135,15.193,0.8773,10.535,0.7442,0.5721,11.351,12.694,11.829,0.7923,0.8982,11.618,0.8643,0.8754,12.393,13.120,0.885,32.939,26.835,0.8989,11.382,10.216,0.6447,12.737
21-L,120,0.623,0.7787,0.7838,0.71,13.149,0.6948,0.946,0.7943,0.8047,12.060,0.7794,12.203,0.9489,0.7469,0.6787,0.7658,0.6876,12.480,12.693,10.307,0.9419,0.9288,13.386,0.9792,12.603,0.9475,11.053,0.9258,0.9994,14.572,0.9899,0.949,10.571,10.733,0.9522
21-L,360,0.9363,10.379,0.9219,0.9735,37.473,0.7278,15.465,14.792,0.986,0.845,13.498,17.303,12.576,11.005,21.448,0.909,0.967,0.7705,14.055,0.7656,10.361,10.138,0.9225,0.982,10.316,0.9645,12.293,15.241,0.7603,0.8847,11.267,0.9972,0.6938,0.3732,17.855
21-L,360,0.858,0.8338,0.7251,0.8644,30.897,42.464,17.749,15.010,11.304,0.7874,0.9642,15.198,0.7461,10.540,13.340,0.7732,0.9777,0.5368,13.251,0.7892,12.301,12.669,13.167,0.9879,14.260,10.499,11.146,0.9563,0.6791,0.9355,11.525,0.8199,12.730,0.6858,12.751
21-L,360,0.9263,0.8309,10.702,10.450,20.308,12.781,14.687,14.757,12.831,0.8302,10.218,11.271,0.7475,0.8168,11.932,0.709,10.374,0.6317,12.287,0.9496,14.510,13.083,13.969,10.046,10.737,0.8518,0.8163,12.335,0.3805,0.4344,12.994,0.6461,0.8941,0.7764,10.600
21-L,360,10.555,10.027,0.8332,0.9415,22.440,0.8553,16.280,15.456,0.9882,0.9322,12.926,16.847,0.9958,0.9656,14.650,0.8444,0.8331,0.8318,14.313,0.9233,0.892,10.474,13.513,10.512,12.651,11.066,10.965,0.8777,0.8295,0.8814,0.9069,11.016,10.102,0.8796,0.9738
21-D,40,11.925,0.9925,11.752,10.144,0.9415,0.9988,10.427,10.026,0.8175,0.991,12.097,0.7441,19.577,0.8048,0.8411,12.150,10.660,10.241,0.8735,14.299,0.98,10.342,0.9549,0.9698,0.9673,0.9896,0.8987,0.9003,14.170,10.448,0.5363,10.093,10.154,14.675,0.9123
21-D,40,0.8138,0.9419,12.919,11.801,0.3826,0.7488,11.027,11.874,0.7711,10.646,10.315,0.8253,17.271,10.288,10.792,12.750,10.900,11.776,0.8307,12.174,0.9495,11.107,0.5536,0.9918,0.8117,12.020,0.8566,0.7746,14.987,0.9829,0.4676,12.523,0.9993,11.459,10.129
21-D,40,0.9044,0.8343,0.9636,0.8757,11.505,11.756,12.251,10.844,0.8684,0.9304,12.669,11.170,25.294,0.5226,0.9067,10.993,0.8943,0.8246,0.9717,18.618,10.168,0.944,11.333,10.465,0.769,11.407,11.007,0.7614,11.147,10.720,0.5914,0.7749,0.9686,13.333,12.043
21-D,40,0.9268,0.8693,0.9928,0.7986,0.6035,12.048,0.8279,0.9621,0.5489,0.6655,10.937,10.158,18.661,0.6337,0.9927,11.883,0.9696,14.082,0.9558,17.937,10.161,0.8548,0.9158,0.9395,0.6498,11.182,11.075,0.9062,10.531,12.430,0.6924,11.282,10.318,11.132,0.9485
21-D,120,0.9613,11.437,21.908,16.102,0.5961,0.5686,0.9423,0.976,13.616,12.979,11.656,0.7047,0.6274,0.9708,0.6711,20.291,16.897,11.265,0.6676,14.179,0.9935,0.785,0.9915,10.438,10.074,0.998,0.7486,10.714,10.128,0.8218,0.5731,11.159,0.924,20.015,0.9543
21-D,120,10.242,10.081,16.419,13.181,0.5191,11.538,10.527,10.113,14.695,12.605,0.9308,0.8688,0.8306,0.8688,0.8995,16.035,14.825,0.6388,0.9858,12.519,0.8528,0.7633,0.7254,0.9176,0.9055,10.496,0.9087,10.525,11.715,0.7166,0.8038,12.844,10.479,20.477,13.699
21-D,120,0.8161,10.280,23.434,13.095,0.3126,0.6992,0.9383,0.8633,11.756,14.038,11.519,0.5945,0.7178,0.7782,0.7845,20.894,17.523,10.037,0.7482,12.108,0.7331,0.769,10.250,0.9434,10.729,10.314,0.6586,11.144,0.4781,0.7111,0.5659,10.305,0.7598,26.214,10.960
21-D,120,11.803,0.9,0.9696,0.8807,0.659,13.809,0.9301,0.7996,11.418,13.439,10.908,0.7829,13.726,0.5355,11.938,14.504,0.9146,10.512,0.9477,23.991,0.9165,0.849,0.6966,0.982,0.8807,11.541,0.9146,0.8807,11.010,11.471,0.9315,18.325,10.962,15.868,11.191
21-D,360,0.952,14.027,30.684,22.189,0.9824,10.889,0.6162,11.402,15.398,10.437,15.741,0.8564,0.6838,11.482,13.950,25.043,29.130,12.725,0.8739,19.012,0.7187,0.7861,0.4692,11.848,0.9794,0.9722,0.5048,17.512,0.5151,0.4877,0.4636,0.8566,0.8175,13.280,0.895
21-D,360,0.88,10.023,18.841,15.993,0.3771,0.414,0.5192,0.6097,11.227,0.9356,11.385,0.5661,0.901,0.9128,0.2441,11.854,12.189,0.8385,0.6939,25.180,11.083,0.8123,48.519,16.620,14.915,10.075,0.7546,15.728,0.9989,0.7362,0.4922,0.3751,11.662,25.946,0.665
21-D,360,0.9133,20.581,46.382,41.960,0.672,10.650,14.981,15.204,21.391,16.751,14.853,0.9961,0.8579,16.607,0.7011,41.401,33.778,0.774,0.5534,15.653,0.8033,0.6992,15.643,13.080,14.019,0.923,0.5013,12.248,0.3104,0.4699,0.5143,0.5008,0.8207,22.368,11.211
21-D,360,0.8935,15.350,37.671,28.585,0.2429,0.7244,0.9652,0.9877,17.235,16.880,12.278,0.6456,0.9235,13.971,0.617,28.839,31.215,0.7628,0.4765,21.137,10.854,0.8876,0.7621,0.9998,0.9878,10.985,0.57,11.005,0.7519,0.6549,0.8937,11.019,10.876,36.027,10.225
21-LL,40,0.5332,0.7547,0.7263,0.9097,0.9862,0.7638,10.707,10.788,0.7841,0.7632,10.090,0.9992,0.5056,0.8486,0.4239,0.8239,0.5992,13.403,12.215,11.151,11.057,10.000,15.319,12.653,13.661,12.673,11.919,0.9171,14.524,10.378,0.6323,0.6467,13.919,14.820,10.955
21-LL,40,0.5486,0.6724,0.4607,0.5576,0.7718,21.240,0.6458,0.8908,0.5393,0.4912,0.9042,12.155,0.8068,0.6677,0.9962,0.7711,0.5188,11.675,11.286,0.9166,0.8994,0.8677,11.662,13.602,10.573,0.9771,12.286,0.8687,13.396,12.441,0.946,10.121,11.507,0.9669,10.947
21-LL,40,0.7156,0.7671,0.599,0.6268,10.420,14.720,0.648,11.143,0.6381,0.5793,11.387,14.226,12.024,0.7895,16.025,0.8707,0.603,0.9121,11.322,0.9187,0.9644,0.9844,0.6334,0.6728,11.245,10.954,12.409,0.9339,16.293,19.305,0.88,11.453,0.9766,0.6341,13.699
21-LL,40,0.5298,0.6996,0.6233,0.6338,0.7646,10.417,0.7569,0.8199,0.5167,0.7303,10.455,11.352,0.7733,0.6596,0.8507,0.8127,0.5446,16.953,0.9299,0.9262,10.629,11.717,0.5508,0.8965,0.4344,10.417,10.692,10.876,11.283,11.617,10.226,0.9084,11.976,0.2033,10.804
21-LL,120,0.7947,0.8316,0.8916,0.9909,0.7828,13.205,0.9959,12.322,14.035,18.420,10.139,11.771,0.9537,0.8746,14.094,10.920,0.8864,0.8451,17.783,0.9302,0.7368,0.6968,0.865,10.102,10.677,13.174,11.707,12.724,0.64,0.5589,10.134,11.763,10.240,0.4787,0.9684
21-LL,120,0.5557,0.6335,10.303,11.154,0.7627,0.5197,12.956,14.522,13.539,14.615,11.852,0.8511,0.8234,0.7509,0.6053,0.9406,11.124,11.027,11.922,11.037,13.332,12.789,14.361,12.032,0.7952,0.9142,0.7971,16.121,0.4828,0.3598,10.455,0.7243,0.9684,11.974,0.9979
21-LL,120,0.5841,0.8094,11.911,11.730,0.4247,0.7387,0.8305,10.576,0.9465,14.085,0.8266,0.7813,10.372,0.9207,0.6401,12.206,10.794,0.9573,10.947,10.528,0.6715,0.7454,0.9274,0.8748,11.080,11.894,0.8662,0.7105,23.576,12.570,0.6871,13.034,11.120,0.9819,0.982
21-LL,120,0.6155,0.8766,10.893,10.751,0.7771,11.925,11.583,0.94,12.534,18.909,0.8982,10.036,0.9163,0.9243,0.837,13.361,10.751,0.9828,12.957,0.7838,10.150,10.027,0.5967,11.098,0.758,0.9871,0.9057,10.375,0.9916,0.9919,0.9715,10.854,0.9547,0.6801,10.288
21-LL,360,0.7467,10.125,10.359,12.181,0.7031,0.7077,11.777,0.9287,14.301,11.388,11.671,11.204,0.7587,10.151,0.7775,12.137,12.411,0.6947,0.999,11.300,12.089,13.730,13.539,11.476,13.602,0.9349,0.9145,13.949,0.5065,0.3355,0.7859,0.7222,0.8417,12.934,0.9992
21-LL,360,0.807,10.083,12.263,12.776,0.8271,0.4735,0.9391,0.7268,12.603,0.823,14.375,0.954,0.6364,12.637,16.962,14.315,15.867,0.8066,12.789,0.7686,0.9212,17.010,0.6829,0.8091,10.693,0.9962,0.7456,0.7843,0.3596,0.3435,0.851,11.265,0.7325,0.3899,10.838
21-LL,360,0.9587,0.8707,0.9679,0.9446,11.259,0.6758,13.728,10.528,12.134,0.7821,13.205,0.8982,0.8953,0.9392,12.891,10.244,12.383,0.7142,10.993,0.8282,12.947,15.561,0.8689,11.532,10.682,0.9921,0.8488,11.655,11.250,0.5669,11.423,10.123,0.9676,0.7083,13.058
21-LL,360,0.7162,0.9443,11.360,10.706,10.258,0.592,11.160,10.196,14.352,0.9495,0.9937,11.249,0.7967,0.9964,10.935,11.657,11.698,0.6547,0.9738,0.9484,11.022,10.568,11.614,0.9344,13.468,0.9532,0.9163,0.9175,0.8772,0.5119,10.689,0.8241,0.8358,10.382,0.8234
21-HL,40,0.9547,0.9652,0.8462,0.9442,81.258,21.371,0.958,10.706,0.6145,0.5768,0.7264,15.049,11.126,13.989,15.431,0.7122,0.5888,0.8467,14.986,0.9468,13.291,13.077,22.412,0.9875,0.997,11.906,20.398,0.7061,45.370,35.777,15.706,0.9842,14.674,0.7473,10.213
21-HL,40,10.394,0.8734,10.618,10.572,65.366,13.050,0.8909,10.950,0.686,0.6081,0.7885,12.270,0.9235,13.811,15.917,0.8803,10.285,0.9477,13.814,0.9235,0.9444,0.917,19.511,0.8911,0.6851,11.357,11.594,0.8703,13.965,13.203,0.9566,10.228,0.9995,0.5701,0.9755
21-HL,40,13.111,0.9886,0.8756,0.9227,71.210,14.386,0.7906,10.018,0.5666,0.6602,0.6175,0.8907,0.8521,13.343,10.436,0.9518,0.887,0.9279,11.612,0.9045,0.6086,0.5977,19.782,0.8746,10.504,10.525,10.958,0.8258,22.985,15.885,0.6459,11.573,11.234,0.6233,0.9982
21-HL,40,11.501,0.9725,0.8205,0.9582,70.056,15.042,0.9704,10.008,0.6645,0.4699,0.7348,11.849,10.154,10.995,12.135,0.7826,0.6745,16.296,11.350,10.031,0.9429,0.9442,19.969,10.185,10.387,0.9088,12.969,0.9429,16.278,17.312,0.981,0.9446,0.9023,0.8644,11.171
21-HL,120,17.513,14.041,10.539,12.049,209.193,22.393,12.172,13.078,0.9106,0.8681,0.9595,16.144,0.8118,19.419,18.215,10.941,10.065,0.7803,13.912,0.8293,0.9692,10.819,18.635,10.757,0.951,0.9973,12.614,0.9112,15.856,13.963,11.584,0.8228,0.9396,0.9836,0.9977
21-HL,120,16.901,12.703,0.8918,10.928,333.898,20.180,0.9329,10.130,0.7763,0.7884,0.779,13.669,10.718,16.758,11.902,0.7387,0.8606,0.7891,10.778,11.382,11.266,0.9673,19.154,10.000,12.119,0.8727,15.885,10.061,69.242,51.772,13.880,0.7863,12.977,0.9925,0.9593
21-HL,120,15.431,11.687,0.8875,10.416,275.805,12.916,10.146,0.9255,0.8026,0.7885,0.8419,16.821,0.9314,17.996,19.278,0.912,10.401,0.789,12.203,0.8386,10.038,10.540,19.515,10.457,10.383,0.8799,18.239,0.9356,47.576,36.623,11.623,0.7586,11.561,0.8303,10.672
21-HL,120,15.116,11.743,0.9395,0.9371,300.676,12.509,0.9984,0.9672,0.911,0.7828,0.9028,13.538,12.752,21.808,23.766,0.779,10.933,12.547,12.485,10.000,0.8592,10.395,15.225,0.7985,0.8559,0.9965,15.201,0.8048,39.280,34.676,0.9157,10.650,0.9486,0.337,0.9272
21-HL,360,17.172,11.824,10.009,0.9918,345.430,32.123,0.8574,14.518,0.9449,0.6893,0.789,16.463,0.6704,19.606,29.614,0.6677,13.382,0.9316,13.841,0.4945,11.302,12.525,0.8371,0.8768,0.7936,0.8853,13.217,0.7891,17.043,19.864,12.638,0.9999,0.9439,0.4659,0.8324
21-HL,360,13.607,10.326,0.7318,0.7376,554.099,15.408,10.348,10.988,0.952,0.6742,0.7699,14.855,0.9852,18.997,21.603,0.6944,11.048,0.3891,10.796,0.7045,11.832,10.928,22.841,12.157,13.053,0.8731,11.945,13.122,10.019,17.719,12.578,0.5623,0.7035,12.307,0.7742
21-HL,360,13.644,10.784,0.9637,0.9546,409.643,18.070,10.001,11.032,0.9824,0.629,0.7732,13.248,0.8214,17.546,16.691,0.6651,10.647,0.4777,10.183,0.6331,13.278,13.012,22.839,13.088,0.8535,0.7366,11.683,0.9286,13.221,22.585,13.698,0.6386,0.8764,14.031,0.8635
21-HL,360,10.109,10.072,0.7959,0.933,174.639,24.740,0.8935,10.589,0.857,0.6123,0.5659,12.607,0.9983,14.064,15.062,0.6895,11.701,0.5392,0.8859,0.7841,10.022,11.074,19.568,10.759,12.300,0.8259,13.568,0.6521,10.011,17.667,10.976,0.7023,0.9667,0.9308,0.8672
